"roster_id","original_object_name","original_mesh_name","proposed_clean_asset_name","category","dimensions_m","vertex_count","triangle_count","materials","duplicate_status","reusable_status","recommended_action","approval_status","exported_filename","notes","bbox_min_m","bbox_max_m","bbox_center_m","mesh_users","source_transform_location","source_transform_rotation_euler","source_transform_scale"
"AP-0001","BUILDING_PODIUM001_garages_MELBOURNE_0","BUILDING_PODIUM001_garages_MELBOURNE_0","Building_Podium_A","pit","(10.6987, 7.0777, 3.1615)","874","472","['garages_MELBOURNE']","unique","review","review","not_started","","","(313.3525, -223.8818, 2.2776)","(324.0511, -216.8041, 5.4392)","(318.7018, -220.343, 3.8584)","1","(0.00262, -6e-05, -0.00027)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0002","BUILDINGS_00_MELBOURNE_0","BUILDINGS_00_MELBOURNE_0","Building_Backdrop_A","building","(170.2908, 85.2103, 15.0175)","12126","7140","['MELBOURNE']","unique","review","review","not_started","","","(286.8651, -272.415, -2.0936)","(457.1559, -187.2047, 12.9239)","(372.0104, -229.8098, 5.4151)","1","(0.00137, 0.0005, 0.00378)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0003","BUILDINGS_01_MELBOURNE_0","BUILDINGS_01_MELBOURNE_0","Building_Backdrop_02","building","(87.9473, 61.811, 18.4882)","14419","7836","['MELBOURNE']","unique","review","review","not_started","","","(533.364, -121.6023, -4.1312)","(621.3113, -59.7913, 14.357)","(577.3376, -90.6968, 5.1129)","1","(-0.00156, 0.00044, 0.00378)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0004","BUILDINGS_02_MELBOURNE_0","BUILDINGS_02_MELBOURNE_0","Building_Backdrop_03","building","(57.3159, 45.6621, 24.7053)","3984","2694","['MELBOURNE']","unique","review","review","not_started","","","(-18.2186, 84.7273, -2.6263)","(39.0973, 130.3894, 22.079)","(10.4394, 107.5583, 9.7264)","1","(0.00137, 0.00049, 0.00036)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0005","BUILDINGS_03_MELBOURNE_0","BUILDINGS_03_MELBOURNE_0","Building_Backdrop_04","building","(82.5745, 72.6349, 21.8209)","2115","1332","['MELBOURNE']","unique","review","review","not_started","","","(29.9491, 55.9187, -0.6961)","(112.5237, 128.5537, 21.1248)","(71.2364, 92.2362, 10.2143)","1","(0.00039, 0.00068, -0.0011)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0006","BUILDINGS_04_MELBOURNE_0","BUILDINGS_04_MELBOURNE_0","Building_Backdrop_05","building","(100.2568, 101.1454, 13.4442)","3306","1870","['MELBOURNE']","unique","review","review","not_started","","","(-119.9643, 19.243, -0.6669)","(-19.7076, 120.3885, 12.7773)","(-69.836, 69.8158, 6.0552)","1","(0.00186, 0.00045, 0.00085)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0007","BUILDINGS_05_MELBOURNE_0","BUILDINGS_05_MELBOURNE_0","Building_Backdrop_06","building","(226.0824, 197.2818, 37.1714)","4941","2306","['MELBOURNE']","unique","review","review","not_started","","","(-223.1964, -175.5569, -2.1097)","(2.886, 21.7249, 35.0617)","(-110.1552, -76.916, 16.476)","1","(0.00186, 0.00052, -0.0011)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0008","BUILDINGS_06_MELBOURNE_0","BUILDINGS_06_MELBOURNE_0","Building_Backdrop_07","building","(170.1366, 160.0542, 18.8311)","11943","4726","['MELBOURNE']","unique","review","review","not_started","","","(573.0142, -448.7146, -6.0807)","(743.1508, -288.6605, 12.7504)","(658.0825, -368.6876, 3.3349)","1","(0.00332, 0.00044, -0.00061)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0009","BUILDINGS_07_MELBOURNE_0","BUILDINGS_07_MELBOURNE_0","Building_Backdrop_08","building","(527.4341, 224.0023, 18.981)","18122","9094","['MELBOURNE']","unique","review","review","not_started","","","(106.5145, -503.8926, -5.9683)","(633.9486, -279.8904, 13.0127)","(370.2316, -391.8915, 3.5222)","1","(-0.0001, 0.00078, -0.0011)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0010","BUILDINGS_08_MELBOURNE_0","BUILDINGS_08_MELBOURNE_0","Building_Backdrop_09","building","(501.5157, 414.3582, 21.8671)","65851","25424","['MELBOURNE']","unique","review","review","not_started","","","(-400.319, -268.3124, -1.5634)","(101.1967, 146.0458, 20.3036)","(-149.5611, -61.1333, 9.3701)","1","(0.00332, 0.00032, 0.00085)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0011","BUILDINGS_08_MELBOURNE_0.001","BUILDINGS_08_MELBOURNE_0.001","Building_Backdrop_10","building","(215.1488, 133.3984, 21.03)","62593","23636","['MELBOURNE']","unique","review","review","not_started","","","(-282.2341, -218.6794, -1.2685)","(-67.0854, -85.281, 19.7614)","(-174.6597, -151.9802, 9.2464)","1","(0.00332, 0.00032, 0.00085)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0012","BUILDINGS_09_MELBOURNE_0","BUILDINGS_09_MELBOURNE_0","Building_Backdrop_11","building","(23.1234, 17.9102, 9.7611)","249","136","['MELBOURNE']","unique","review","review","not_started","","","(215.9355, -238.8061, -2.8363)","(239.0588, -220.8958, 6.9248)","(227.4971, -229.851, 2.0443)","1","(0.00235, 0.0012, 0.00134)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0013","BUILDINGS_10_MELBOURNE_0","BUILDINGS_10_MELBOURNE_0","Building_Backdrop_12","building","(339.6501, 327.7674, 73.3897)","65631","44858","['MELBOURNE']","unique","review","review","not_started","","","(391.7192, 13.8726, -5.8974)","(731.3694, 341.64, 67.4923)","(561.5443, 177.7563, 30.7975)","1","(0.00023, -3e-05, -0.0007)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0014","BUILDINGS_10_MELBOURNE_0.001","BUILDINGS_10_MELBOURNE_0.001","Building_Backdrop_13","building","(280.9326, 262.3443, 35.8563)","7197","5644","['MELBOURNE']","unique","review","review","not_started","","","(442.2539, 43.954, -1.2526)","(723.1866, 306.2983, 34.6037)","(582.7203, 175.1261, 16.6755)","1","(0.00023, -3e-05, -0.0007)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0015","BUILDINGS_11_MELBOURNE_0","BUILDINGS_11_MELBOURNE_0","Building_Backdrop_14","building","(278.7748, 273.2407, 52.5108)","57647","33400","['MELBOURNE']","unique","review","review","not_started","","","(615.3944, -187.4738, -5.2263)","(894.1693, 85.7669, 47.2845)","(754.7819, -50.8535, 21.0291)","1","(-0.00171, -6e-05, -0.00055)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0016","BUILDINGS_12_MELBOURNE_0","BUILDINGS_12_MELBOURNE_0","Building_Backdrop_15","building","(295.16, 214.0251, 96.676)","30460","22537","['MELBOURNE']","unique","review","review","not_started","","","(818.1735, -332.8363, -7.7601)","(1113.3335, -118.8111, 88.9159)","(965.7535, -225.8237, 40.5779)","1","(-0.00236, -0.00014, -0.00083)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0017","BUILDINGS_13_MELBOURNE_0","BUILDINGS_13_MELBOURNE_0","Building_Backdrop_16","building","(216.1984, 324.1689, 71.0677)","66143","28273","['MELBOURNE']","unique","review","review","not_started","","","(-40.0564, 333.098, -5.6263)","(176.142, 657.267, 65.4414)","(68.0428, 495.1825, 29.9076)","1","(0.00101, 0.0, 0.00212)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0018","BUILDINGS_13_MELBOURNE_0.001","BUILDINGS_13_MELBOURNE_0.001","Building_Backdrop_17","building","(310.114, 400.3802, 90.4438)","43565","22091","['MELBOURNE']","unique","review","review","not_started","","","(-58.9252, 257.2639, -5.8039)","(251.1887, 657.6441, 84.6399)","(96.1317, 457.454, 39.418)","1","(0.00101, 0.0, 0.00212)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0019","BUILDINGS_14_MELBOURNE_0","BUILDINGS_14_MELBOURNE_0","Building_Backdrop_18","building","(567.3231, 437.8418, 16.4215)","27987","10617","['MELBOURNE']","unique","review","review","not_started","","","(-274.9354, -79.2296, -3.9109)","(292.3877, 358.6122, 12.5106)","(8.7262, 139.6913, 4.2998)","1","(0.00018, 0.00018, -7e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0020","BUILDINGS_15_MELBOURNE_0","BUILDINGS_15_MELBOURNE_0","Building_Backdrop_19","building","(297.562, 294.4075, 83.2789)","65796","24851","['MELBOURNE']","unique","review","review","not_started","","","(201.7675, 269.588, -4.879)","(499.3295, 563.9954, 78.3999)","(350.5485, 416.7917, 36.7605)","1","(-0.00064, -0.00054, -0.0035)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0021","BUILDINGS_15_MELBOURNE_0.001","BUILDINGS_15_MELBOURNE_0.001","Building_Backdrop_20","building","(266.8468, 210.2616, 80.112)","60262","21516","['MELBOURNE']","unique","review","review","not_started","","","(232.7536, 354.8013, -0.1846)","(499.6004, 565.0629, 79.9274)","(366.177, 459.9321, 39.8714)","1","(-0.00064, -0.00054, -0.0035)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0022","BUILDINGS_16_MELBOURNE_0","BUILDINGS_16_MELBOURNE_0","Building_Backdrop_21","building","(299.5564, 359.7169, 40.0099)","29661","15487","['MELBOURNE']","unique","review","review","not_started","","","(736.8278, -653.8127, -6.3193)","(1036.3842, -294.0958, 33.6905)","(886.606, -473.9543, 13.6856)","1","(0.00023, 0.00082, -0.00219)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0023","COLLIDER_OUTSIDE_COLLIDER_MELBOURNE_0","COLLIDER_OUTSIDE_COLLIDER_MELBOURNE_0","COL_Source_A","collider","(997.3996, 724.393, 21.3065)","1150","576","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(-142.8217, -398.7217, -5.303)","(854.5779, 325.6713, 16.0035)","(355.8781, -36.5252, 5.3502)","1","(-0.00057, 4e-05, -0.00052)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0024","COLLIDER_PITWALL_COLLIDER_MELBOURNE_0","COLLIDER_PITWALL_COLLIDER_MELBOURNE_0","COL_Source_02","collider","(205.0968, 79.9543, 19.796)","120","70","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(264.2644, -291.4153, -6.0232)","(469.3611, -211.461, 13.7728)","(366.8127, -251.4382, 3.8748)","1","(-0.00217, 9e-05, -0.00143)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0025","COLLIDER_TYRE_BLOCK_00_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_00_COLLIDER_MELBOURNE_0","COL_Source_03","collider","(43.4251, 56.3638, 1.4954)","369","185","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(111.6507, -183.8923, -1.5476)","(155.0758, -127.5285, -0.0523)","(133.3633, -155.7104, -0.8)","1","(-0.00097, 9e-05, -0.00028)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0026","COLLIDER_TYRE_BLOCK_01_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_01_COLLIDER_MELBOURNE_0","COL_Source_04","collider","(85.2986, 64.2911, 1.8166)","472","238","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(-106.9167, -13.6372, -1.119)","(-21.618, 50.6539, 0.6976)","(-64.2674, 18.5083, -0.2107)","1","(-3e-05, 3e-05, 0.00031)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0027","COLLIDER_TYRE_BLOCK_02_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_02_COLLIDER_MELBOURNE_0","COL_Source_05","collider","(80.5665, 45.6033, 1.6186)","388","194","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(-21.7362, 63.1886, -0.6732)","(58.8304, 108.792, 0.9453)","(18.5471, 85.9903, 0.1361)","1","(-7e-05, 3e-05, 9e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0028","COLLIDER_TYRE_BLOCK_03_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_03_COLLIDER_MELBOURNE_0","COL_Source_06","collider","(75.1243, 45.0313, 1.6217)","439","217","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(73.1677, 250.2091, -0.3037)","(148.292, 295.2404, 1.3179)","(110.7299, 272.7247, 0.5071)","1","(-0.00078, 0.00011, -0.00183)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0029","COLLIDER_TYRE_BLOCK_04_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_04_COLLIDER_MELBOURNE_0","COL_Source_07","collider","(102.8935, 81.8248, 1.5333)","541","263","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(433.4243, -109.0349, -0.8653)","(536.3179, -27.2101, 0.668)","(484.8711, -68.1225, -0.0986)","1","(-0.00048, 0.00031, -0.00045)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0030","COLLIDER_TYRE_BLOCK_05_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_05_COLLIDER_MELBOURNE_0","COL_Source_08","collider","(43.0483, 29.0319, 1.3726)","199","101","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(496.7464, -30.4958, -0.6405)","(539.7947, -1.4639, 0.732)","(518.2705, -15.9799, 0.0458)","1","(-0.00407, 0.00019, -0.00017)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0031","COLLIDER_TYRE_BLOCK_06_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_06_COLLIDER_MELBOURNE_0","COL_Source_09","collider","(82.9137, 61.834, 1.6836)","402","202","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(645.4547, -293.0502, -1.4872)","(728.3683, -231.2163, 0.1965)","(686.9115, -262.1332, -0.6453)","1","(-0.00376, -4e-05, -0.00209)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0032","COLLIDER_TYRE_BLOCK_07_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_07_COLLIDER_MELBOURNE_0","COL_Source_10","collider","(84.6697, 60.5984, 1.4338)","424","202","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(527.7558, -316.469, -1.845)","(612.4255, -255.8706, -0.4112)","(570.0906, -286.1698, -1.1281)","1","(-0.00396, -0.0005, 0.00054)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0033","COLLIDER_TYRE_BLOCK_08_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_08_COLLIDER_MELBOURNE_0","COL_Source_11","collider","(47.5412, 67.381, 1.4928)","332","162","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(469.3062, -260.1876, -1.5898)","(516.8474, -192.8066, -0.0971)","(493.0768, -226.4971, -0.8435)","1","(0.00059, -0.00011, -0.00149)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0034","COLLIDER_TYRE_BLOCK_016_COLLIDER_MELBOURNE_0","COLLIDER_TYRE_BLOCK_016_COLLIDER_MELBOURNE_0","COL_Source_12","collider","(82.2039, 39.8356, 1.4392)","398","202","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(85.0948, -121.9936, -1.1984)","(167.2987, -82.158, 0.2408)","(126.1968, -102.0758, -0.4788)","1","(-0.002, 4e-05, 0.00016)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0035","COLLIDER_WALL_INSIDE_COLLIDER_MELBOURNE_0","COLLIDER_WALL_INSIDE_COLLIDER_MELBOURNE_0","COL_Source_13","collider","(860.0966, 641.4531, 21.1122)","942","482","['COLLIDER_MELBOURNE']","unique","track-specific","review","not_started","","Keep collision logically separate from visible geometry.","(-94.8182, -345.6746, -5.7737)","(765.2783, 295.7785, 15.3384)","(335.23, -24.948, 4.7824)","1","(-2e-05, -4e-05, 0.00012)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0036","distance_50_left002_MELBOURNE_0","distance_50_left002_MELBOURNE_0","Sign_Braking_50_A","sign","(1.1407, 1.0284, 1.7205)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_50_A.glb","","(694.1744, -165.7648, 1.2103)","(695.3152, -164.7363, 2.9308)","(694.7448, -165.2506, 2.0705)","1","(0.00072, 0.00043, -0.00219)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0037","distance_50_left003_MELBOURNE_0","distance_50_left003_MELBOURNE_0","Sign_Braking_50_02","sign","(0.8958, 1.2415, 1.721)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_50_02.glb","","(-23.1374, -48.0251, 0.7652)","(-22.2416, -46.7836, 2.4862)","(-22.6895, -47.4044, 1.6257)","1","(0.00026, -1e-05, -2e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0038","distance_50_right002_MELBOURNE_0","distance_50_right002_MELBOURNE_0","Sign_Braking_50_03","sign","(0.6196, 1.4396, 1.7214)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_50_03.glb","","(392.0896, -64.0668, 1.3916)","(392.7092, -62.6271, 3.1131)","(392.3994, -63.347, 2.2523)","1","(-0.00394, 0.00016, -0.0004)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0039","distance_100_left002_MELBOURNE_0","distance_100_left002_MELBOURNE_0","Sign_Braking_100_A","sign","(1.143, 1.0305, 1.7205)","72","36","['MELBOURNE']","unique","yes","keep","approved","Sign_Braking_100_A.glb","Approved canonical GLB. Geometry/origin/orientation approved. Transform convention approved from AP-0039: +Z up, -Y forward/readable facing direction, X width. Generated 100 texture is acceptable for now but temporary; polish later.","(679.0186, -147.1984, 1.3186)","(680.1616, -146.1679, 3.0391)","(679.5901, -146.6831, 2.1789)","1","(0.00061, -0.00041, 0.0012)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0040","distance_100_left003_MELBOURNE_0","distance_100_left003_MELBOURNE_0","Sign_Braking_100_02","sign","(0.8777, 1.2566, 1.721)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_100_02.glb","","(-3.7277, -62.1299, 0.8403)","(-2.8499, -60.8733, 2.5613)","(-3.2888, -61.5016, 1.7008)","1","(-2e-05, -4e-05, -0.00013)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0041","distance_100_right002_MELBOURNE_0","distance_100_right002_MELBOURNE_0","Sign_Braking_100_03","sign","(0.5599, 1.2804, 1.721)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_100_03.glb","","(369.2047, -56.0217, 1.4213)","(369.7645, -54.7413, 3.1423)","(369.4846, -55.3815, 2.2818)","1","(-0.00098, 5e-05, -0.00019)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0042","distance_150_left002_MELBOURNE_0","distance_150_left002_MELBOURNE_0","Sign_Braking_150_A","sign","(1.0844, 0.9787, 1.7203)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_150_A.glb","","(663.5926, -128.4986, 1.3624)","(664.6769, -127.5199, 3.0828)","(664.1348, -128.0092, 2.2226)","1","(0.00199, 0.00016, -0.00053)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0043","distance_150_left003_MELBOURNE_0","distance_150_left003_MELBOURNE_0","Sign_Braking_150_02","sign","(0.8345, 1.1914, 1.7208)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_150_02.glb","","(16.3117, -75.2763, 0.8907)","(17.1462, -74.0849, 2.6116)","(16.7289, -74.6806, 1.7511)","1","(0.00023, -7e-05, -0.00067)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0044","distance_150_right002_MELBOURNE_0","distance_150_right002_MELBOURNE_0","Sign_Braking_150_03","sign","(0.6042, 1.218, 1.7209)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_150_03.glb","","(346.6848, -47.7873, 1.519)","(347.289, -46.5693, 3.2399)","(346.9869, -47.1783, 2.3795)","1","(0.00113, -8e-05, -0.00034)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0045","distance_200_left002_MELBOURNE_0","distance_200_left002_MELBOURNE_0","Sign_Braking_200_A","sign","(1.1172, 1.0076, 1.7204)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_200_A.glb","","(648.0748, -110.1975, 1.4054)","(649.192, -109.1899, 3.1258)","(648.6334, -109.6937, 2.2656)","1","(-0.00025, -0.00031, -0.00132)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0046","distance_200_left003_MELBOURNE_0","distance_200_left003_MELBOURNE_0","Sign_Braking_200_02","sign","(0.8587, 1.2279, 1.7209)","72","36","['MELBOURNE']","unique","yes","keep","not_started","Sign_Braking_200_02.glb","","(36.9132, -87.6324, 1.0306)","(37.7718, -86.4045, 2.7515)","(37.3425, -87.0184, 1.8911)","1","(-3e-05, -0.00012, -0.00053)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0047","LAMP_POST_DOUBLE001_MELBOURNE_0","LAMP_POST_DOUBLE001_MELBOURNE_0","Light_LampPost_Double_A","light","(3.1065, 2.9328, 24.171)","534","286","['MELBOURNE']","probable-duplicate","yes","keep","not_started","Light_LampPost_Double_A.glb","probable-duplicate","(-17.8888, -116.0599, -2.8159)","(-14.7823, -113.127, 21.3551)","(-16.3356, -114.5935, 9.2696)","1","(0.00031, 0.00011, -0.00023)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0048","LAMP_POST_DOUBLE002_MELBOURNE_0","LAMP_POST_DOUBLE002_MELBOURNE_0","Light_LampPost_Double_02","light","(3.1065, 2.9328, 24.171)","534","286","['MELBOURNE']","probable-duplicate","yes","keep","not_started","Light_LampPost_Double_02.glb","probable-duplicate","(14.1298, -134.8135, -2.8599)","(17.2363, -131.8807, 21.3111)","(15.683, -133.3471, 9.2256)","1","(0.00049, 7e-05, -5e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0049","LAMP_POST_SINGLE001_MELBOURNE_0","LAMP_POST_SINGLE001_MELBOURNE_0","Light_LampPost_Single_A","light","(2.7301, 1.8925, 24.1686)","294","158","['MELBOURNE']","unique","yes","keep","not_started","Light_LampPost_Single_A.glb","","(26.5767, 161.4021, -2.1655)","(29.3067, 163.2947, 22.0031)","(27.9417, 162.3484, 9.9188)","1","(-0.00047, -0.0001, -0.0006)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0050","LAMP_POST_SINGLE002_MELBOURNE_0","LAMP_POST_SINGLE002_MELBOURNE_0","Light_LampPost_Single_02","light","(2.6812, 1.6717, 24.1681)","294","158","['MELBOURNE']","unique","yes","keep","not_started","Light_LampPost_Single_02.glb","","(82.7728, 165.2529, -2.1564)","(85.454, 166.9247, 22.0116)","(84.1134, 166.0888, 9.9276)","1","(0.00068, -7e-05, 0.00172)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0051","LAMP_POST_SINGLE003_MELBOURNE_0","LAMP_POST_SINGLE003_MELBOURNE_0","Light_LampPost_Single_03","light","(2.3565, 2.7641, 24.1706)","294","158","['MELBOURNE']","unique","yes","keep","not_started","Light_LampPost_Single_03.glb","","(103.2528, 110.8758, -1.7712)","(105.6093, 113.64, 22.3994)","(104.431, 112.2579, 10.3141)","1","(-0.00075, 3e-05, -0.00063)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0052","LAMP_POST_SINGLE004_MELBOURNE_0","LAMP_POST_SINGLE004_MELBOURNE_0","Light_LampPost_Single_04","light","(2.6812, 1.6718, 24.168)","294","158","['MELBOURNE']","unique","yes","keep","not_started","Light_LampPost_Single_04.glb","","(33.8796, 99.8036, -2.3099)","(36.5608, 101.4753, 21.8582)","(35.2202, 100.6395, 9.7741)","1","(0.00013, 9e-05, -0.00103)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0053","LAMP_POST_SINGLE005_MELBOURNE_0","LAMP_POST_SINGLE005_MELBOURNE_0","Light_LampPost_Single_05","light","(1.7665, 2.774, 24.1706)","294","158","['MELBOURNE']","unique","yes","keep","not_started","Light_LampPost_Single_05.glb","","(5.6552, 139.4455, -2.217)","(7.4216, 142.2196, 21.9537)","(6.5384, 140.8326, 9.8684)","1","(0.00144, -3e-05, -7e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0054","LAMP_POST_SINGLE006_MELBOURNE_0","LAMP_POST_SINGLE006_MELBOURNE_0","Light_LampPost_Single_06","light","(1.2433, 2.6074, 24.1702)","294","158","['MELBOURNE']","unique","yes","keep","not_started","Light_LampPost_Single_06.glb","","(108.9463, 135.9034, -1.8962)","(110.1896, 138.5108, 22.2741)","(109.568, 137.2071, 10.189)","1","(0.00066, -0.00017, 0.00076)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0055","OBJECT_PIER001_MELBOURNE_0","OBJECT_PIER001_MELBOURNE_0","Prop_PIER001_0_A","trackside_prop","(5.6663, 25.2564, 4.5467)","664","516","['MELBOURNE']","unique","review","review","not_started","","","(171.5185, -60.894, -6.4044)","(177.1849, -35.6375, -1.8576)","(174.3517, -48.2657, -4.131)","1","(-0.00021, -8e-05, 0.00013)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0056","OBJECT_PIER_MELBOURNE_0","OBJECT_PIER_MELBOURNE_0","Prop_PIER_0_A","trackside_prop","(16.8978, 22.683, 4.5407)","664","516","['MELBOURNE']","unique","review","review","not_started","","","(522.3511, -107.0757, -6.8118)","(539.2488, -84.3926, -2.2711)","(530.7999, -95.7341, -4.5415)","1","(-0.00252, -6e-05, -0.00135)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0057","overpass_middle006_garages_MELBOURNE_0","overpass_middle006_garages_MELBOURNE_0","Pit_Overpass_A","pit","(22.1425, 50.5187, 9.4724)","14296","8192","['garages_MELBOURNE']","unique","review","review","not_started","","","(262.8078, -249.5947, -1.9343)","(284.9503, -199.076, 7.538)","(273.8791, -224.3353, 2.8018)","1","(-0.00158, 0.0, -0.00147)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
